workoutId,name,coach,type,zonas,duration,date,Sync,Feedback,completed
Pablo14,Circuit training,Ken,Fuerza Resistencia,Full Body,45,11/10/2020,https://airtable.com/tblnhWsiv31HIswwM/rechmWgnRTAIsCd52?blocks=bliHMlxTWf3Xp3Uj6,,
Andres12,FUERZA,Ken,Fuerza Tirón,,90,11/11/2020,https://airtable.com/tblnhWsiv31HIswwM/recuP5FCLQxfD8JOU?blocks=bliHMlxTWf3Xp3Uj6,,
Pablo12,Fuerza Empuje I,Ken,Fuerza Empuje,Full Body,60,11/11/2020,https://airtable.com/tblnhWsiv31HIswwM/recKxP4tTDiem4ypX?blocks=bliHMlxTWf3Xp3Uj6,,
Alvaro12,Fuerza Empuje I,Ken,Fuerza Empuje,,60,11/11/2020,https://airtable.com/tblnhWsiv31HIswwM/recxfDm7rB8Sydj5v?blocks=bliHMlxTWf3Xp3Uj6,,
Angel73,Empezamos con la pierna,Oscar,Fuerza,,90,11/11/2020,https://airtable.com/tblnhWsiv31HIswwM/recGJO1F4umKJJO6V?blocks=bliHMlxTWf3Xp3Uj6,,
Magdalena12,Tone + Cardio,Miriam,Fuerza Resistencia,,60,11/11/2020,https://airtable.com/tblnhWsiv31HIswwM/rec1navobsudiZ7sW?blocks=bliHMlxTWf3Xp3Uj6,,
Miriam12,entreno 2,Ken,Fuerza,,60,11/11/2020,https://airtable.com/tblnhWsiv31HIswwM/recuizW4NJWBEDCkT?blocks=bliHMlxTWf3Xp3Uj6,,
Pablo13,Fuerza,Ken,Fuerza Empuje,Full Body,60,11/11/2020,https://airtable.com/tblnhWsiv31HIswwM/recwcNfYyikoADTAD?blocks=bliHMlxTWf3Xp3Uj6,,
Jose73,Movimientos de Tirón,Oscar,Fuerza Tirón,,60,11/12/2020,https://airtable.com/tblnhWsiv31HIswwM/rec3JhmobQElPTQD4?blocks=bliHMlxTWf3Xp3Uj6,,
Yago22,Fuerza Tirón I,Oscar,Fuerza Tirón,,45,11/12/2020,https://airtable.com/tblnhWsiv31HIswwM/recPefhGZAIGSCvZb?blocks=bliHMlxTWf3Xp3Uj6,,
